Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
software/stb,,27319.4,<1,,28513.1,<1,,26461.8,<1
software/stdeval1,,26274.9,<1,,27076.4,<1,,24831.7,<1
software/stm3210e_eval,,27845.2,<1,,28963.2,<1,,26815.4,<1
software/toybox,,4351.9,<1,,4358.7,<1,,4328.3,<1
software/ts1000,,28911.0,<1,,29902.5,<1,,27563.4,<1
software/ts6,,27172.1,<1,,28362.7,<1,,26261.1,<1
software/tx39_sim,,25757.4,<1,,26685.9,<1,,24630.7,<1
software/uClinux,,15150.0,<1,,15150.0,<1,,15150.0,<1
software/uClinux-config,,126306.6,2.8,,127777.8,3.3,,121513.0,4.2
software/uE250,,27049.6,<1,,28161.0,<1,,25902.6,<1
software/vads,,27065.6,<1,,28577.8,<1,,26481.5,<1
software/viper,,28179.4,<1,,30035.9,<1,,27556.3,<1
software/vrc4373,,27073.1,<1,,28344.7,<1,,26171.2,<1
software/vrc4375,,27461.7,<1,,28654.5,<1,,26413.6,<1
